Country,"MIN(`Life expectancy`)","MAX(`Life expectancy`)",Life_Increase_15_Years
Zimbabwe,44.3,67,22.7
Zambia,43.8,63,19.2
Yemen,61.1,68,6.9
"Viet Nam",73.4,76,2.6
"Venezuela (Bolivarian Republic of)",72.4,74.1,1.7
Vanuatu,69,78,9
Uzbekistan,67.1,69.4,2.3
Uruguay,75.1,77,1.9
"United States of America",76.8,79.3,2.5
"United Republic of Tanzania",49.2,67,17.8
"United Kingdom of Great Britain and Northern Ireland",77.8,87,9.2
"United Arab Emirates",74.2,77.1,2.9
Ukraine,67,78,11
Uganda,46.6,67,20.4
Turkmenistan,63.3,66.3,3
Turkey,71.2,78,6.8
Tunisia,72.9,75.3,2.4
"Trinidad and Tobago",69.1,78,8.9
Tonga,71.6,73.5,1.9
Togo,54.6,59.9,5.3
Timor-Leste,58.7,68.3,9.6
"The former Yugoslav republic of Macedonia",72.6,75.7,3.1
Thailand,71.1,74.9,3.8
Tajikistan,63.7,69.7,6
"Syrian Arab Republic",62.8,73.8,11
Switzerland,79.7,85,5.3
Sweden,79.6,89,9.4
Swaziland,45.6,58.9,13.3
Suriname,67.4,76,8.6
Sudan,58.6,67,8.4
"Sri Lanka",69.1,74.9,5.8
Spain,79.1,89,9.9
"South Sudan",48.9,58,9.1
"South Africa",53.7,69,15.3
Somalia,51.1,58,6.9
"Solomon Islands",65.8,69.2,3.4
Slovenia,76,88,12
Slovakia,73,76.7,3.7
Singapore,78.3,87,8.7
"Sierra Leone",39,54,15
Seychelles,71.8,73.2,1.4
Serbia,72.6,75.6,3
Senegal,57.5,66.7,9.2
"Saudi Arabia",72.6,74.5,1.9
"Sao Tome and Principe",62.6,67.5,4.9
Samoa,71.4,79,7.6
"Saint Vincent and the Grenadines",71,79,8
"Saint Lucia",71.6,75.2,3.6
Rwanda,48.3,68,19.7
"Russian Federation",64.6,75,10.4
Romania,71.1,78,6.9
"Republic of Moldova",67.1,79,11.9
"Republic of Korea",76,87,11
Qatar,76.2,78.2,2
Portugal,76.6,89,12.4
Poland,73.7,77.5,3.8
Philippines,66.8,68.5,1.7
Peru,71.4,75.5,4.1
Paraguay,71.2,79,7.8
"Papua New Guinea",58.9,68,9.1
Panama,75.5,77.8,2.3
Pakistan,62.8,66.4,3.6
Oman,72.6,76.6,4
Norway,78.5,89,10.5
